"","Sequence","mcg","gvh","alm","mit","erl","pox","vac","nuc","class"
"351","E2BD_YEAST",0.42,0.39,0.47,0.13,0.5,0,0.5,0.27,1
"352","E2BE_YEAST",0.32,0.38,0.52,0.2,0.5,0,0.52,0.28,1
"353","E2BB_YEAST",0.59,0.65,0.52,0.3,0.5,0,0.46,0.31,1
"354","GCN1_YEAST",0.41,0.52,0.41,0.11,0.5,0,0.54,0.35,1
"355","GCN2_YEAST",0.37,0.33,0.5,0.12,0.5,0,0.51,0.54,1
"356","E2BA_YEAST",0.45,0.56,0.49,0.17,0.5,0,0.52,0.22,1
"363","GCY_YEAST",0.6,0.4,0.59,0.18,0.5,0,0.48,0.22,1
"365","DHE4_YEAST",0.38,0.47,0.53,0.12,0.5,0,0.48,0.22,1
"366","DHE2_YEAST",0.59,0.43,0.52,0.19,0.5,0,0.55,0.27,1
"367","GDI1_YEAST",0.64,0.53,0.45,0.13,0.5,0,0.53,0.22,1
"369","GFA1_YEAST",0.52,0.51,0.51,0.12,0.5,0,0.51,0.4,1
"370","GLGB_YEAST",0.49,0.43,0.48,0.15,0.5,0,0.55,0.25,1
"371","PP12_YEAST",0.49,0.47,0.52,0.16,0.5,0,0.53,0.28,1
"372","HXKG_YEAST",0.48,0.39,0.49,0.18,0.5,0,0.51,0.22,1
"373","GLNA_YEAST",0.44,0.34,0.55,0.18,0.5,0,0.52,0.22,1
"375","SYQ_YEAST",0.49,0.42,0.54,0.17,0.5,0,0.5,0.36,1
"378","6PGD_YEAST",0.74,0.53,0.5,0.08,0.5,0,0.55,0.31,1
"380","GBA1_YEAST",0.3,0.5,0.47,0.11,0.5,0,0.46,0.22,1
"381","GPDA_YEAST",0.44,0.51,0.48,0.38,0.5,0,0.52,0.22,1
"382","PHSG_YEAST",0.31,0.45,0.5,0.17,0.5,0,0.49,0.22,1
"383","PMGY_YEAST",0.55,0.41,0.56,0.21,0.5,0,0.52,0.22,1
"385","SYG_YEAST",0.4,0.48,0.5,0.17,0.5,0,0.54,0.5,1
"388","UGS1_YEAST",0.58,0.45,0.48,0.24,0.5,0,0.52,0.37,1
"389","UGS2_YEAST",0.58,0.41,0.51,0.26,0.5,0,0.51,0.37,1
"392","HAL1_YEAST",0.38,0.49,0.61,0.13,0.5,0,0.54,0.22,1
"397","HBS1_YEAST",0.21,0.38,0.49,0.16,0.5,0,0.51,0.45,1
"401","DCUP_YEAST",0.48,0.34,0.47,0.14,0.5,0,0.47,0.26,1
"402","HEM6_YEAST",0.35,0.4,0.53,0.18,0.5,0,0.42,0.38,1
"404","HEM2_YEAST",0.53,0.43,0.47,0.15,0.5,0,0.58,0.22,1
"405","HEM3_YEAST",0.46,0.45,0.56,0.16,0.5,0,0.56,0.22,1
"414","HIS7_YEAST",0.56,0.44,0.56,0.19,0.5,0,0.54,0.22,1
"427","HS83_YEAST",0.61,0.54,0.49,0.16,0.5,0,0.54,0.42,1
"430","H104_YEAST",0.66,0.62,0.52,0.17,0.5,0,0.49,0.22,1
"431","HS26_YEAST",0.44,0.41,0.58,0.2,0.5,0,0.57,0.25,1
"435","HS82_YEAST",0.61,0.54,0.49,0.19,0.5,0,0.54,0.47,1
"441","HXKA_YEAST",0.41,0.3,0.49,0.28,0.5,0,0.54,0.22,1
"442","HXKB_YEAST",0.41,0.43,0.5,0.28,0.5,0,0.5,0.22,1
"454","IPPI_YEAST",0.51,0.43,0.63,0.18,0.5,0,0.52,0.22,1
"457","SYI_YEAST",0.5,0.46,0.52,0.16,0.5,0,0.52,0.26,1
"465","INO1_YEAST",0.51,0.34,0.43,0.18,0.5,0,0.48,0.25,1
"468","IPYR_YEAST",0.43,0.51,0.6,0.25,0.5,0,0.55,0.22,1
"487","JNM1_YEAST",0.42,0.25,0.6,0.14,0.5,0,0.45,0.22,1
"501","KIP1_YEAST",0.43,0.52,0.53,0.52,1,0,0.49,0.22,1
"502","KIP2_YEAST",0.38,0.49,0.54,1,0.5,0,0.5,0.27,1
"505","KR11_YEAST",0.27,0.56,0.56,0.18,0.5,0,0.52,0.22,1
"510","SYKC_YEAST",0.43,0.45,0.54,0.14,0.5,0,0.5,0.31,1
"518","BLH1_YEAST",0.52,0.48,0.58,0.55,0.5,0,0.48,0.22,1
"524","LEU2_YEAST",0.51,0.43,0.47,0.19,0.5,0,0.52,0.37,1
"525","LEU3_YEAST",0.54,0.54,0.49,0.14,0.5,0,0.56,0.22,1
"533","LYS1_YEAST",0.5,0.45,0.48,0.17,0.5,0,0.5,0.26,1
"535","LYS2_YEAST",0.46,0.47,0.46,0.16,0.5,0,0.51,0.22,1
"541","MAK3_YEAST",0.5,0.34,0.62,0.19,0.5,0,0.57,0.22,1
"543","MA3S_YEAST",0.39,0.37,0.56,0.15,0.5,0,0.5,0.27,1
"547","AMPM_YEAST",0.48,0.51,0.57,0.24,0.5,0,0.5,0.22,1
"558","MDHC_YEAST",0.62,0.6,0.47,0.16,0.5,0,0.53,0.22,1
"563","MDM1_YEAST",0.49,0.44,0.45,0.22,0.5,0,0.51,0.22,1
"573","SYMC_YEAST",0.57,0.44,0.42,0.2,0.5,0,0.54,0.22,1
"574","MET2_YEAST",0.4,0.47,0.48,0.18,0.5,0,0.46,0.22,1
"575","MT17_YEAST",0.34,0.54,0.54,0.13,0.5,0,0.52,0.22,1
"578","METE_YEAST",0.29,0.46,0.54,0.27,0.5,0,0.49,0.22,1
"592","MLP1_YEAST",0.46,0.55,0.61,0.13,0.5,0,0.47,0.22,1
"655","MTD1_YEAST",0.57,0.4,0.48,0.24,0.5,0,0.55,0.22,1
"659","MYS1_YEAST",0.58,0.38,0.4,0.21,0.5,0,0.5,0.22,1
"660","MYS2_YEAST",0.53,0.41,0.5,0.24,1,0,0.47,0.22,1
"661","MYS4_YEAST",0.43,0.4,0.5,0.18,0.5,0,0.5,0.28,1
"667","NAB1_YEAST",0.49,0.6,0.55,0.17,0.5,0,0.44,0.22,1
"672","NAM7_YEAST",0.37,0.41,0.45,0.14,0.5,0,0.47,0.22,1
"675","NAT1_YEAST",0.5,0.36,0.53,0.41,0.5,0,0.55,0.36,1
"676","NAT2_YEAST",0.59,0.58,0.39,0.52,0.5,0,0.5,0.31,1
"687","NIN1_YEAST",0.47,0.5,0.55,0.19,0.5,0,0.62,0.22,1
"688","NIP1_YEAST",0.35,0.5,0.44,0.27,0.5,0,0.51,0.22,1
"690","NMT_YEAST",0.49,0.44,0.51,0.18,0.5,0,0.52,0.27,1
"698","TREA_YEAST",0.29,0.34,0.55,0.24,0.5,0,0.51,0.22,1
"722","PABP_YEAST",0.28,0.48,0.56,0.16,0.5,0,0.48,0.26,1
"723","PAN1_YEAST",0.69,0.39,0.52,0.12,0.5,0,0.38,0.35,1
"725","PAS1_YEAST",0.56,0.48,0.5,0.3,0.5,0,0.51,0.22,1
"730","IPB2_YEAST",0.45,0.46,0.61,0.2,0.5,0,0.62,0.22,1
"734","DCP1_YEAST",0.49,0.45,0.53,0.16,0.5,0,0.49,0.31,1
"735","PDC2_YEAST",0.51,0.46,0.57,0.25,0.5,0,0.53,0.22,1
"736","DCP2_YEAST",0.49,0.45,0.46,0.18,0.5,0,0.49,0.31,1
"737","DCP3_YEAST",0.52,0.46,0.51,0.18,0.5,0,0.5,0.22,1
"738","CNA1_YEAST",0.55,0.59,0.52,0.1,0.5,0,0.53,0.22,1
"739","CNA2_YEAST",0.39,0.58,0.5,0.1,0.5,0,0.51,0.25,1
"763","K6P1_YEAST",0.57,0.49,0.5,0.2,0.5,0,0.51,0.28,1
"764","K6P2_YEAST",0.62,0.43,0.49,0.29,0.5,0,0.5,0.27,1
"765","6P2K_YEAST",0.45,0.41,0.49,0.14,1,0,0.53,0.3,1
"766","PROF_YEAST",0.47,0.49,0.6,0.15,0.5,0,0.38,0.22,1
"768","G6PI_YEAST",0.46,0.46,0.53,0.23,0.5,0,0.51,0.22,1
"769","PGK_YEAST",0.48,0.42,0.48,0.19,0.5,0,0.58,0.22,1
"770","PGM1_YEAST",0.43,0.45,0.53,0.19,0.5,0,0.56,0.22,1
"771","PGM2_YEAST",0.28,0.36,0.55,0.15,0.5,0,0.57,0.22,1
"775","PNPP_YEAST",0.38,0.62,0.52,0.14,0.5,0,0.53,0.22,1
"796","MANA_YEAST",0.55,0.51,0.54,0.2,0.5,0,0.56,0.22,1
"816","PPCK_YEAST",0.45,0.47,0.53,0.15,0.5,0,0.52,0.27,1
"818","PPX1_YEAST",0.51,0.48,0.46,0.29,0.5,0,0.54,0.22,1
"822","PRCG_YEAST",0.55,0.63,0.54,0.16,0.5,0,0.45,0.27,1
"823","PRCE_YEAST",0.46,0.62,0.54,0.25,0.5,0,0.46,0.22,1
"824","PRCD_YEAST",0.53,0.59,0.48,0.14,0.5,0,0.51,0.22,1
"825","PRCH_YEAST",0.42,0.53,0.57,0.17,0.5,0,0.49,0.22,1
"826","PRC2_YEAST",0.52,0.46,0.56,0.2,0.5,0,0.5,0.22,1
"827","PRC6_YEAST",0.53,0.43,0.57,0.24,0.5,0,0.39,0.28,1
"830","PROB_YEAST",0.56,0.48,0.5,0.17,0.5,0,0.51,0.26,1
"831","PROC_YEAST",0.77,0.57,0.45,0.17,0.5,0,0.53,0.22,1
"846","PRC8_YEAST",0.45,0.45,0.52,0.17,0.5,0,0.54,0.22,1
"847","PRC5_YEAST",0.28,0.51,0.55,0.19,0.5,0,0.57,0.22,1
"848","PRC3_YEAST",0.51,0.51,0.56,0.28,0.5,0,0.54,0.27,1
"849","PRC9_YEAST",0.48,0.56,0.49,0.32,0.5,0,0.5,0.22,1
"850","PRT1_YEAST",0.59,0.46,0.48,0.46,0.5,0,0.49,0.22,1
"854","PTP1_YEAST",0.53,0.45,0.53,0.18,0.5,0,0.42,0.22,1
"855","PTP2_YEAST",0.45,0.27,0.5,0.33,0.5,0,0.53,0.26,1
"857","PUB1_YEAST",0.48,0.5,0.56,0.11,0.5,0,0.33,0.22,1
"858","PRCF_YEAST",0.35,0.47,0.53,0.19,0.5,0,0.48,0.22,1
"859","PRCZ_YEAST",0.48,0.48,0.56,0.18,0.5,0,0.58,0.22,1
"864","PYC1_YEAST",0.46,0.43,0.5,0.24,0.5,0,0.48,0.31,1
"865","PYC2_YEAST",0.43,0.46,0.5,0.21,0.5,0,0.49,0.34,1
"866","KPYK_YEAST",0.61,0.55,0.51,0.26,0.5,0,0.52,0.22,1
"894","RAM1_YEAST",0.59,0.47,0.51,0.53,0.5,0,0.53,0.26,1
"895","RAM2_YEAST",0.4,0.6,0.5,0.16,0.5,0,0.51,0.22,1
"897","RAS1_YEAST",0.61,0.46,0.54,0.11,0.5,0,0.47,0.22,1
"898","RAS2_YEAST",0.66,0.55,0.54,0.18,0.5,0,0.43,0.22,1
"916","RHO1_YEAST",0.6,0.48,0.46,0.32,0.5,0,0.4,0.33,1
"917","RHO2_YEAST",0.64,0.44,0.51,0.35,0.5,0,0.53,0.22,1
"923","RNA1_YEAST",0.45,0.52,0.5,0.12,0.5,0,0.6,0.22,1
"929","RS3A_YEAST",0.38,0.4,0.59,0.25,0.5,0,0.44,0.22,1
"930","RS3B_YEAST",0.39,0.39,0.59,0.25,0.5,0,0.45,0.22,1
"931","R13A_YEAST",0.54,0.55,0.56,0.14,0.5,0,0.5,0.25,1
"932","RL18_YEAST",0.45,0.5,0.57,0.29,0.5,0,0.44,0.11,1
"933","RL18_YEAST",0.45,0.5,0.57,0.29,0.5,0,0.44,0.11,1
"934","RS24_YEAST",0.61,0.38,0.57,0.36,0.5,0,0.44,0.21,1
"935","RS24_YEAST",0.61,0.38,0.57,0.36,0.5,0,0.44,0.21,1
"936","R17A_YEAST",0.43,0.33,0.54,0.37,0.5,0,0.38,0.16,1
"937","R17B_YEAST",0.43,0.33,0.54,0.37,0.5,0,0.38,0.16,1
"938","R61A_YEAST",0.51,0.39,0.58,0.19,0.5,0,0.47,0.22,1
"962","RL1_YEAST",0.35,0.33,0.48,0.42,0.5,0,0.47,0.43,1
"963","RL15_YEAST",0.46,0.35,0.69,0.18,0.5,0,0.3,0.25,1
"964","RL15_YEAST",0.46,0.35,0.69,0.18,0.5,0,0.3,0.25,1
"965","R14A_YEAST",0.57,0.43,0.52,0.3,0.5,0,0.37,0.11,1
"966","R14B_YEAST",0.57,0.43,0.52,0.3,0.5,0,0.37,0.11,1
"967","RL12_YEAST",0.59,0.51,0.48,0.12,0.5,0,0.54,0.31,1
"968","RL12_YEAST",0.59,0.51,0.48,0.12,0.5,0,0.54,0.31,1
"969","RL16_YEAST",0.61,0.53,0.59,0.17,0.5,0,0.44,0.28,1
"970","RL1A_YEAST",0.61,0.48,0.56,0.19,0.5,0,0.53,0.31,1
"971","RL1A_YEAST",0.61,0.48,0.56,0.19,0.5,0,0.53,0.31,1
"972","R16A_YEAST",0.44,0.56,0.52,0.18,0.5,0,0.5,0.11,1
"973","R16B_YEAST",0.36,0.56,0.52,0.18,0.5,0,0.45,0.16,1
"974","RL17_YEAST",0.37,0.44,0.64,0.48,0.5,0,0.36,0.27,1
"975","RL19_YEAST",0.72,0.37,0.63,0.38,0.5,0,0.4,0.14,1
"976","RL19_YEAST",0.72,0.37,0.63,0.38,0.5,0,0.4,0.14,1
"977","RL25_YEAST",0.44,0.36,0.64,0.45,0.5,0,0.53,0.11,1
"978","RL27_YEAST",0.58,0.45,0.55,0.27,0.5,0,0.48,0.11,1
"979","RL2_YEAST",0.63,0.64,0.45,0.26,0.5,0,0.43,0.22,1
"980","RL2_YEAST",0.63,0.64,0.45,0.26,0.5,0,0.43,0.22,1
"981","RL3A_YEAST",0.43,0.33,0.67,0.12,0.5,0,0.45,0.23,1
"982","RL3B_YEAST",0.43,0.33,0.67,0.12,0.5,0,0.43,0.23,1
"983","RL3E_YEAST",0.58,0.44,0.5,0.26,0.5,0,0.52,0.22,1
"984","RL34_YEAST",0.38,0.43,0.53,0.22,0.5,0,0.48,0.11,1
"985","R37A_YEAST",0.4,0.45,0.61,0.29,0.5,0,0.44,0.22,1
"986","R37B_YEAST",0.4,0.45,0.61,0.29,0.5,0,0.44,0.22,1
"987","RL44_YEAST",0.34,0.34,0.65,0.4,0.5,0,0.32,0.16,1
"988","RL44_YEAST",0.34,0.34,0.65,0.4,0.5,0,0.32,0.16,1
"989","RL46_YEAST",0.43,0.22,0.79,0.79,0.5,0,0.22,0,1
"990","RL41_YEAST",0.35,0.21,1,0.8,0.5,0,0.13,0.01,1
"991","RL41_YEAST",0.35,0.21,1,0.8,0.5,0,0.13,0.01,1
"992","RL4A_YEAST",0.56,0.35,0.47,0.41,0.5,0,0.5,0.22,1
"993","RL4B_YEAST",0.56,0.35,0.47,0.35,0.5,0,0.52,0.22,1
"994","RL6_YEAST",0.54,0.44,0.55,0.48,0.5,0,0.47,0.22,1
"995","RL71_YEAST",0.35,0.39,0.56,0.2,0.5,0,0.49,0.41,1
"996","RL9_YEAST",0.48,0.46,0.58,0.16,0.5,0,0.45,0.22,1
"997","RLA0_YEAST",0.48,0.55,0.48,0.1,0.5,0,0.55,0.22,1
"998","RLA1_YEAST",0.66,0.6,0.52,0.19,0.5,0,0.69,0.22,1
"999","RLA2_YEAST",0.69,0.54,0.55,0.23,0.5,0,0.73,0.22,1
"1000","RLA3_YEAST",0.73,0.6,0.47,0.2,0.5,0,0.72,0.22,1
"1001","RLA4_YEAST",0.78,0.82,0.56,0.21,0.5,0,0.69,0.22,1
"1006","RS6_YEAST",0.46,0.33,0.45,0.22,0.5,0,0.41,0.37,1
"1007","R19A_YEAST",0.52,0.43,0.61,0.22,0.5,0,0.45,0.22,1
"1008","R19B_YEAST",0.52,0.43,0.61,0.22,0.5,0,0.45,0.22,1
"1009","RS41_YEAST",0.32,0.44,0.54,0.21,0.5,0,0.4,0.19,1
"1010","RS41_YEAST",0.32,0.44,0.54,0.21,0.5,0,0.4,0.19,1
"1011","RS15_YEAST",0.48,0.41,0.52,0.33,0.5,0,0.51,0.26,1
"1012","RS22_YEAST",0.46,0.39,0.54,0.22,0.5,0,0.48,0.25,1
"1013","RS22_YEAST",0.46,0.39,0.54,0.22,0.5,0,0.48,0.25,1
"1014","RS21_YEAST",0.42,0.5,0.64,0.13,0.5,0,0.49,0.22,1
"1015","R26A_YEAST",0.46,0.54,0.59,0.41,0.5,0,0.53,0.21,1
"1016","R26B_YEAST",0.46,0.54,0.59,0.41,0.5,0,0.53,0.21,1
"1017","R271_YEAST",0.39,0.65,0.57,0.19,0.5,0,0.44,0.25,1
"1018","R272_YEAST",0.39,0.65,0.57,0.19,0.5,0,0.43,0.25,1
"1019","RS28_YEAST",0.38,0.5,0.52,0.44,0.5,0,0.54,0.11,1
"1020","RS28_YEAST",0.38,0.5,0.52,0.44,0.5,0,0.54,0.11,1
"1021","RS3_YEAST",0.51,0.52,0.58,0.17,0.5,0,0.47,0.28,1
"1022","RS31_YEAST",0.57,0.48,0.54,0.22,0.5,0,0.5,0.11,1
"1023","RS33_YEAST",0.5,0.5,0.62,0.23,0.5,0,0.35,0.11,1
"1024","RS37_YEAST",0.41,0.49,0.65,0.28,0.5,0,0.59,0.57,1
"1025","RS4E_YEAST",0.53,0.57,0.6,0.36,0.5,0,0.5,0.22,1
"1026","RS4E_YEAST",0.53,0.57,0.6,0.36,0.5,0,0.5,0.22,1
"1027","RS8_YEAST",0.37,0.3,0.62,0.43,0.5,0,0.44,0.39,1
"1028","RS8_YEAST",0.37,0.3,0.62,0.43,0.5,0,0.44,0.39,1
"1032","R161_YEAST",0.49,0.4,0.58,0.23,0.5,0,0.47,0.27,1
